_id,local,__v
"""5acfc43b056e661330faad63""","{""emailValidated"":false,""contract"":""false"",""phone"":""242432424"",""zip"":""23134"",""state"":""VT"",""city"":""wewe"",""street"":""213123 fefeg"",""role"":""admin"",""lastName"":""Staggs"",""firstName"":""Jacob"",""password"":""$2a$08$9piRMK0NiJaV8m.2Srs3n.tXouEN45wAYs3L2uNBTqx7VfqQiy7q."",""email"":""jacob@test.com""}",0
"""5ad4c3d045c25415b020c872""","{""emailValidated"":false,""contract"":""false"",""phone"":""3333"",""zip"":""34344"",""state"":""DC"",""city"":""test"",""street"":""test"",""role"":""user"",""lastName"":""test"",""firstName"":""test"",""password"":""$2a$08$CU0nbffw3M.eXTBcLjFPhuNSTrL7zKh3Qsj32.9vdLWNwFU0WW6y."",""email"":""test1@1.com""}",0
"""5ad5ee929ffd813bc08a05c5""","{""emailValidated"":false,""contract"":false,""phone"":2342342345,""zip"":25701,""state"":""WV"",""city"":""Huntington"",""street"":""4343 street"",""role"":""engineer"",""lastName"":""omer"",""firstName"":""cust"",""password"":""$2a$08$POHSPflIdaEBv2DN.W.mVuvXEGBwzBr/pHQWWXqdTTl3k4nPlRgpu"",""email"":""cust1@test.com""}",0
"""5ad60217a3ac1516381d6cad""","{""emailValidated"":false,""contract"":false,""phone"":3424234234,""zip"":23123,""state"":""WV"",""city"":""ererr"",""street"":""testsat"",""role"":""user"",""lastName"":""test"",""firstName"":""test"",""password"":""$2a$08$PQ0rRWAm9RRVSbi1I4q0U.8tixrcPF/VqcSJ34gW0BOBAOl6rNupK"",""email"":""test@tet.com""}",0
"""5ad6038bd304cf23282958a1""","{""emailValidated"":false,""contract"":false,""phone"":42132144,""zip"":21345,""state"":""AL"",""city"":""wewe"",""street"":""jsjs"",""role"":""user"",""lastName"":""jsjs"",""firstName"":""jacob"",""password"":""$2a$08$Vqra5nFHbQw72GtU7zR94.P9Qv7XQODSQgOxkxDKijrkJjCIGdpvS"",""email"":""test4@test.com""}",0
"""5ad603dddd3eb82180079b23""","{""emailValidated"":false,""contract"":false,""phone"":232323,""zip"":23232,""state"":""FL"",""city"":""fefef"",""street"":""fefef"",""role"":""user"",""lastName"":""fefef"",""firstName"":""fefef"",""password"":""$2a$08$JQatfiwsLnT8x9P4V6lKn.tavCXHrNmWLCMBV8TSyeZHSI4VsHoB."",""email"":""fefef@emai.com""}",0
"""5ad6045cdd3eb82180079b24""","{""emailValidated"":false,""contract"":false,""phone"":2321313,""zip"":23123,""state"":""TN"",""city"":""test"",""street"":""test"",""role"":""user"",""lastName"":""test"",""firstName"":""test"",""password"":""$2a$08$Amy591mUFUfUN/0gmUyjEecYSAsJAGF.u5bZkdpp6NdDVzCM/cfY."",""email"":""test20000@test.com""}",0
"""5ad60561841a530684cc75ee""","{""emailValidated"":false,""contract"":false,""phone"":3131313,""zip"":213,""state"":""DE"",""city"":""dwqd"",""street"":""rere"",""role"":""user"",""lastName"":""test"",""firstName"":""test"",""password"":""$2a$08$vKxrP3CZoMkhEDbB2Bs7TO0vlCHie4qVaK4O9wFD7F6R9tQxVQWfC"",""email"":""blah@blah.com""}",0
"""5ad6067484bccc3e44d749cc""","{""emailValidated"":false,""contract"":false,""phone"":32131313,""zip"":12313,""state"":""DC"",""city"":""rest"",""street"":""rest"",""role"":""user"",""lastName"":""rest"",""firstName"":""rest"",""password"":""$2a$08$eJ2iIgtjpc76iGiU5WEupeQrPSH.41A76HkXzSNrnjuxev81Wo3Yq"",""email"":""rerer@re.com""}",0
"""5ad60cf433fba449cc45d171""","{""emailValidated"":false,""contract"":false,""phone"":2323133,""zip"":23233,""state"":""AL"",""city"":""wewe"",""street"":""3123213"",""role"":""user"",""lastName"":""tttt"",""firstName"":""tttt"",""password"":""$2a$08$JnMbq..7H33vFXWLZP9vMONL1ZV9BzV/3sFqVzn/AfeE4qerP3mT."",""email"":""tttt@tttt.com""}",0
